title,money,knoladge,company,addition,city,link
Full stack PHP developer,150,HTML JAVASCRIPT VANILLA JQUERY VUEJS MAVEN,ГЕН ЛУ,['Удаленная работа'],Москва,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1/vakansii/full-stack-php-developer-45493629.html
Web-дизайнер,68,HTML EMAIL KEY VISUAL JAVASCRIPT,Твой Дом,,Москва,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1/vakansii/web-dizajner-45434636.html
Веб-разработчик (Wordpress),100,CMS WORDPRESS WORDPRESS WORDPRESS,"Фонд ""Фома Центр""",['Удаленная работа'],Москва,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1/vakansii/veb-razrabotchik-37023684.html
Программист-разработчик,200,JEST REACT TYPESCRIPT,Центр,['Удаленная работа'],Санкт-Петербург,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1/vakansii/programmist-razrabotchik-45525615.html
Разработчик Bitrix24 (корпоративный портал),200,MYSQL MSSQL HTML CSS JAVASCRIPT HTTPHTTPS WEB API,Кадровое агентство уникальных специалистов,['Отклик без резюме'],Москва,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1/vakansii/razrabotchik-bitrix24-45384510.html
Территориальный менеджер по развитию онлайн продаж,50,,Почта Банк,,Хабаровск,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1/vakansii/territorialnyj-menedzher-po-razvitiyu-onlajn-prodazh-45389040.html
Инженер-программист (инженер),100,HTML PHP CSS JAVASCRIPT MYSQL POSTGRESQL NODEJS WEBPACK BABEL GULP GIT REACT VUE REDIS,Марийский государственный университет,,Йошкар-Ола,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1/vakansii/inzhener-programmist-45344790.html
Backend-разработчик (программист),55,,Турмир,['Доступно студентам'],Санкт-Петербург,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1/vakansii/backend-razrabotchik-42921349.html
Контент-менеджер Управления маркетинга и медиакоммуникаций,40,TILDA JS CSS HTML TILDA,ФГБОУ ВО Санкт-Петербургский государственный университет,,Санкт-Петербург,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1/vakansii/kontent-menedzher-upravleniya-marketinga-i-mediakommunikacij-45437266.html
Программист,70,JAVASCRIPT NODE JS WORDPRESS JAVASCRIPT ES REACT WEBPACK JQUERY AJAX,ФГУК Библиотека искусств,,Москва,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1/vakansii/programmist-33366632.html
