title,money,knoladge,company,addition,city,link
Менеджер в отдел продаж / Риелтор по недвижимости (вторичный рынок жилья),150.0,,ИНКОМ - НедвижимостьПроверенный работодатель7.7,"['Опыт не нужен', 'Полная занятость']","Москва, Профсоюзная улица, 93А",https://russia.superjob.ru/vacancy/search/?page=32/vakansii/menedzher-v-otdel-prodazh-25801784.html
Водитель-экспедитор,70.0,,"Сеть химчисток ""Диана""Проверенный работодатель5.9","['Отклик без резюме', 'Опыт не нужен', 'Сменный график']","Москва, Сходненская улица, 5",https://russia.superjob.ru/vacancy/search/?page=32/vakansii/voditel-ekspeditor-46087030.html
Электромонтер,71.33333333333333,,Российские железные дорогиПроверенный работодатель,"['Опыт не нужен', 'Полная занятость']",Новосибирск,https://russia.superjob.ru/vacancy/search/?page=32/vakansii/elektromonter-50688028.html
Контролер службы безопасности РЦ,57.5,,ПерекрестокПроверенный работодатель6.6,['Полная занятость'],Долгопрудный,https://russia.superjob.ru/vacancy/search/?page=32/vakansii/kontroler-sluzhby-bezopasnosti-rc-51080565.html
Сотрудник на склад,130.0,,LamodaПроверенный работодатель7.3,"['Опыт не нужен', 'Сменный график']",Орехово-Зуево,https://russia.superjob.ru/vacancy/search/?page=32/vakansii/sotrudnik-na-sklad-50920825.html
Врач анестезиолог-реаниматолог,160.0,,"ФГБУ ""Национальный медицинский исследовательский центр травматологии и ортопедии им. Н. Н. Приорова"" Минздрава России8.4",['Полная занятость'],"Москва, улица Приорова, 10",https://russia.superjob.ru/vacancy/search/?page=32/vakansii/vrach-anesteziolog-reanimatolog-50966857.html
Бригада подсобных рабочих,100.0,,ТехноСпецСтрой6.2,"['Вахта', 'Опыт не нужен']",Нижнекамск,https://russia.superjob.ru/vacancy/search/?page=32/vakansii/brigada-podsobnyh-rabochih-51153309.html
Специалист по охране труда,60.0,,СПбГУВМ,['Полная занятость'],Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?page=32/vakansii/specialist-po-ohrane-truda-51158902.html
Старший контролер аптечного склада,175.5,,АО ЦВ ПРОТЕКПроверенный работодатель,"['Опыт не нужен', 'Сменный график']",Пушкино,https://russia.superjob.ru/vacancy/search/?page=32/vakansii/starshij-kontroler-aptechnogo-sklada-50889431.html
"Военнослужащий по контракту (Водитель, БПЛА, Рем часть, Артилерия, ВМФ)",98.25,,Будь с Победителями!,"['Опыт не нужен', 'Полная занятость']",Москва,https://russia.superjob.ru/vacancy/search/?page=32/vakansii/voennosluzhaschij-po-kontraktu-51089290.html
Электромонтер по ремонту и обслуживанию электрооборудования,52.5,III,Санаторий-профилакторий ДОРОЖНИК,['Полная занятость'],Сукко (Краснодарский край),https://russia.superjob.ru/vacancy/search/?page=32/vakansii/elektromonter-po-remontu-i-obsluzhivaniyu-elektrooborudovaniya-50644229.html
Менеджер по продажам,120.0,BB,МЕТАЛЛПРОМ,['Полная занятость'],Люберцы,https://russia.superjob.ru/vacancy/search/?page=32/vakansii/menedzher-po-prodazham-50828252.html
Военнослужащий по контракту,325.0,,Cлужба по контракту,['Опыт не нужен'],Казань,https://russia.superjob.ru/vacancy/search/?page=32/vakansii/voennosluzhaschij-po-kontraktu-51139533.html
Начальник участка эксплуатации системы отопления и вентиляции,80.0,,ЛИРСОТ,['Полная занятость'],Мытищи,https://russia.superjob.ru/vacancy/search/?page=32/vakansii/nachalnik-uchastka-ekspluatacii-sistemy-otopleniya-i-ventilyacii-50700335.html
Разнорабочий,По договорённости,,Рубиконстрой,['Вахта'],"Пешково (Ярославская об, Переславльский)",https://russia.superjob.ru/vacancy/search/?page=32/vakansii/raznorabochij-50284458.html
